date,symbols,summary
2025-01-07,COIN,"Unusual options activity for Coinbase (COIN) was recorded on January 17, 2025, involving a neutral-sentiment call option sweep. Parties traded 21 contracts at a $287.50 strike price, with a total trade price of $31.0K and a premium of $1480.0 per contract."
2025-01-07,COIN,"Bitcoin reclaimed the $100,000 mark on Monday, driving crypto-linked stocks including Coinbase Global (COIN), CleanSpark (CLSK), and MicroStrategy (MSTR) up by approximately 6%."
2025-01-07,COIN,"Coinbase (COIN) shares rose 6.92% to $289.37 on Monday as Bitcoin surpassed $100,000 for the first time, reaching a high of $102,482. The broader cryptocurrency market capitalization exceeded $3.5 trillion, with other crypto-related stocks like MicroStrategy and Hut 8 also seeing gains."
2025-01-08,COIN,"Benzinga's options activity scanner identified a bearish call option sweep for Coinbase (COIN) expiring on February 21, 2025, with a $280.00 strike price. The trade involved 10 contracts split into 4 trades, totaling $25.2K in cost, with 271 contracts traded today against 15,520 existing open contracts."
2025-01-09,COIN,"BofA Securities analyst Craig Siegenthaler reiterated a Buy rating on Robinhood (HOOD) and raised its price target to $55 from $53. The analyst noted that both Robinhood and Coinbase (COIN) have benefited from the recent crypto bull market, driven by election results and hopes for a transparent regulatory framework."
2025-01-11,COIN,"The Commodity Futures Trading Commission (CFTC) has subpoenaed Coinbase for customer information related to the prediction platform Polymarket. Coinbase confirmed receiving the request and stated it reviews such orders for legal sufficiency. Polymarket has faced scrutiny regarding U.S. regulatory compliance, including an FBI raid on CEO Shayne Coplan's residence. Coinbase shares fell 0.43% to $258.88 in overnight trading."
2025-01-11,COIN,"Unusual options activity for Coinbase (COIN) was recorded, specifically a bearish call option trade expiring February 21, 2025, with a $300.00 strike price. The trade involved 130 contracts, with a total cost of $183.3K and a price of $1,410.0 per contract. There were 9,586 open contracts at this strike prior to the session, with 476 contracts traded today."
2025-01-11,COIN,"Goldman Sachs Maintains Neutral on Coinbase Glb, Lowers Price Target to $340"
2025-01-13,COIN,"Coinbase CEO Brian Armstrong is reportedly part of a 24-member cryptocurrency advisory council being formed by President-elect Donald Trump. The council aims to provide policy guidance, help draft legislation, and explore the establishment of a strategic Bitcoin reserve. This development coincides with Bitcoin trading down 3.4% to $91,100 amid economic concerns."
2025-01-13,COIN,"JPMorgan analyst Kenneth B. Worthington identified Coinbase as a major winner from the 2024 launch of Bitcoin spot ETPs. Coinbase benefited significantly by serving as a custodian and trading partner, capitalizing on increased token volumes as the crypto market cap nearly doubled."
2025-01-14,COIN,"A federal appeals court ruled that the SEC's denial of Coinbase's 2022 petition for clear crypto rulemaking was 'arbitrary and capricious,' though it declined to mandate new regulations. The court ordered the SEC to provide a better explanation for its rejection. Coinbase stock closed at $251.20 on Monday, reflecting an 87.63% increase over the past year."
2025-01-14,COIN,"Shareholders of Meta Platforms Inc. have submitted a proposal requesting the Board of Directors assess adding Bitcoin to the company's treasury as an inflation-resistant asset. The proposal, submitted by Ethan Peck, cites BlackRock's suggestion of a 2% Bitcoin allocation. Meta currently holds $72 billion in cash and equivalents. Coinbase Global Inc. is noted as one of the top five public companies currently holding Bitcoin reserves."
2025-01-14,COIN,"Benzinga's options scanner identified 14 extraordinary options activities for Coinbase (COIN), with 50% bullish and 35% bearish sentiment. Investors are targeting a price range of $250 to $350. Four professional analysts have provided an average price target of $288.75, with ratings ranging from Neutral to Market Perform. COIN is currently trading at $261.82, up 4.23%, with earnings expected in 30 days."
2025-01-14,COIN,"Keefe, Bruyette & Woods Maintains Market Perform on Coinbase Glb, Lowers Price Target to $255"
2025-01-14,COIN,"Coinbase Global Inc. (NASDAQ: COIN) shares dropped nearly 4% on Monday amid broader market volatility and a 3% decline in Bitcoin. The market downturn was driven by investor caution ahead of upcoming inflation reports and strong jobs data, which reduced expectations for Federal Reserve interest rate cuts."
2025-01-15,COIN,"Coinbase and Andreessen Horowitz were primary backers of the Fairshake super PAC, which spent $173 million in the 2024 election cycle to influence regulatory outcomes. Coinbase, having contributed an additional $25 million, is advocating for the CFTC to become the primary crypto regulator and seeks an end to 'regulation by enforcement.' The company expects a shift in the regulatory environment under the incoming Trump administration, which has appointed crypto-friendly figures like Paul Atkins to lead the SEC."
2025-01-16,COIN,"Coinbase launched a service for U.S. users (excluding New York) to borrow up to $100,000 USDC against Bitcoin holdings. The service uses Morpho, an open-source lending protocol on the Base blockchain. Collateral is converted to Coinbase Wrapped Bitcoin (cbBTC) at a 1:1 ratio. Loans offer flexible repayment terms with variable interest rates adjusted in real-time by Morpho. The product aims to provide liquidity without requiring users to sell their Bitcoin."
2025-01-17,COIN,"An options alert for Coinbase (COIN) shows a bullish call trade expiring on January 31, 2025, at a $315.00 strike price. The trade involved 100 contracts with a total cost of $60.5K, with 174 contracts traded today against 144 in open interest."
2025-01-17,COIN,"Oppenheimer Maintains Outperform on Coinbase Glb, Lowers Price Target to $334"
2025-01-18,COIN,"Coinbase Global Form 4 Filing Shows CFO Alesia J Haas Sold 27,441 Shares Of Stock At An Average Price Of $291.02/Share"
2025-01-18,COIN,"Frederick Ernest Ehrsam III Reported A 2.87% Passive Stake In Coinbase Global As Of Dec 31, 2024 Vs 7.57% On Sept 30, 2024"
2025-01-18,COIN,"Coinbase Global (NASDAQ: COIN) is featured in Benzinga's Stock Whisper Index for the week ending Jan. 17. Interest in the stock is rising due to the launch of Bitcoin-backed loans and the upcoming Jan. 20 inauguration of President-elect Donald Trump, who has indicated potential support for Bitcoin as a national priority. Coinbase shares rose over 20% in the five days preceding the report."
2025-01-18,COIN,'Coinbase Endorses Strategic Bitcoin Reserve' - Axios
2025-01-18,COIN,"Benzinga's options activity scanner tracked a neutral call option trade for Coinbase (NASDAQ: COIN). The trade involved 5 contracts at a $690.00 strike price, expiring on January 15, 2027. The total trade price was $26.1K, with a premium of $5,225.0 per contract. There were 119 open contracts prior to the trade, with 164 contracts traded during the session."
2025-01-18,COIN,"Analysis of Coinbase (NASDAQ: COIN) options history reveals 72 unusual trades, with 44% bullish and 41% bearish sentiment. Call options totaled $6,650,647 in value, while puts totaled $3,898,792. The stock is trading at $296.03, up 5.11%. Five experts in the last month provided an average price target of $297.8, with ratings ranging from Neutral (Piper Sandler, Keefe, Bruyette & Woods, Goldman Sachs) to Outperform (Oppenheimer)."
2025-01-22,COIN,"The First Trust SkyBridge Crypto Industry & Digital Economy ETF (CRPT) gained 13.20% for the week ending Jan. 17, with Coinbase Global (NASDAQ: COIN) as its top holding. Coinbase shares rose 20% during the week, supported by a broader market rally and a 9% increase in Bitcoin's price."
2025-01-22,COIN,"At the World Economic Forum in Davos 2025, Coinbase CEO Brian Armstrong described the current political climate as the 'dawn of a new day for crypto.' Armstrong expressed optimism for clear regulations and crypto-friendly legislation under the new administration. He highlighted Bitcoin's potential as a superior store of value compared to gold and noted growth in Bitcoin ETFs and stablecoin adoption. Armstrong also mentioned potential integrations, such as USDC transfers on X, and advocated for protecting custodial wallet rights."
2025-01-22,COIN,"MicroStrategy announced the purchase of 11,000 additional Bitcoin for approximately $1.1 billion at an average price of $101,191 per coin, bringing its total holdings to 461,000 BTC. The company has spent $29.3 billion on Bitcoin to date. MicroStrategy plans to raise $42 billion in capital by 2027 to fund further acquisitions. The article notes that Coinbase holds approximately 9,000 BTC."
2025-01-24,COIN,"Coinbase (COIN) options activity shows 88 unusual trades, with 46% bullish and 27% bearish sentiment. Investors are targeting a price range of $250 to $690. COIN is currently trading at $302.70, up 2.32%. Analyst ratings include a neutral rating from Goldman Sachs ($340 target), market perform from Keefe, Bruyette & Woods ($255 target), outperform from Oppenheimer ($334 target), and neutral from Piper Sandler ($285 target). Earnings are expected in 21 days."
2025-01-25,COIN,"Coinbase CEO Brian Armstrong stated that Bitcoin is a 'better form of money' than gold, citing its decentralization, scarcity, and portability. He predicts Bitcoin will surpass gold's $18 trillion market cap within five to ten years. Armstrong also noted that Bitcoin's Mayer Multiple is 1.37, indicating it is above its 200-day moving average but not yet overbought. Analyst Javon Marks suggests a potential move toward $120,000 following a bullish pennant breakout."
2025-01-27,COIN,"MicroStrategy and Coinbase have jointly appealed to the U.S. Treasury and IRS to exclude unrealized cryptocurrency gains from the adjusted financial statement income (AFSI) under the 2022 Inflation Reduction Act's corporate alternative minimum tax. While reports suggested MicroStrategy could face a 15% tax on its $18 billion in unrealized Bitcoin gains, social media users and some experts argue the U.S. tax system does not tax unrealized capital gains. New FASB accounting rules effective December require companies to report fair market value for crypto holdings. MicroStrategy holds 461,000 BTC valued at $45.74 billion."
2025-01-28,COIN,"On Monday, tech stocks experienced a significant sell-off, with the Nasdaq 100 falling 3%. Nvidia shares dropped 15%, erasing $450 billion in market value. The downturn impacted crypto-related stocks, with Coinbase Global falling 9.6% and MicroStrategy falling 7.8%. Bitcoin prices dropped below $99,000 as investors shifted toward safe-haven Treasury assets."
2025-01-28,COIN,"A Benzinga options activity report identified a neutral put option trade for Coinbase (COIN) expiring on January 31, 2025, with a strike price of $302.50. The trade involved 10 contracts at a price of $2,952.00 per contract, totaling $29.5K."
2025-01-28,COIN,"Shares of Coinbase Global Inc. and MARA Holdings fell on Monday as Bitcoin prices dropped below $100,000. The decline followed a broader tech sell-off triggered by concerns over AI competition after China's DeepSeek startup released a model outperforming ChatGPT. Coinbase shares closed down 6.64% at $278.21, while MARA closed down 8.53% at $18.29."
2025-01-28,COIN,Coinbase Gains Approval To Launch In Argentina
2025-01-28,COIN,"Worksport Ltd has selected Coinbase as its preferred cryptocurrency custodian for its corporate treasury, citing Coinbase's regulatory compliance, security, and insurance-backed solutions. This follows Worksport's December 5, 2024, announcement to hold Bitcoin and XRP as part of its treasury strategy. Worksport shares traded 4.36% higher at $0.92 premarket on Tuesday."
2025-01-28,COIN,"EXCLUSIVE: Worksport Tells Benzinga 'Following Reach Out from Coinbase's Institutional Team, Worksport Has Created XRP & Bitcoin (BTC) Corporate Accounts'"
2025-01-28,COIN,EXCLUSIVE: Worksport Tells Benzinga Co. Taps Coinbase As Official Crypto Custodian
2025-01-29,COIN,"Mizuho Upgrades Coinbase Glb to Neutral, Raises Price Target to $290"
2025-01-29,COIN,"Over the last three months, 12 analysts have rated Coinbase (COIN), with an average price target of $327.42, representing a 20.82% increase from the previous $271.00 average. Recent ratings include upgrades and price target adjustments from firms like Mizuho, Oppenheimer, Keefe, Bruyette & Woods, Goldman Sachs, Piper Sandler, Barclays, and Needham. Financially, Coinbase reported 78.77% revenue growth as of September 30, 2024, with a 6.26% net margin and a 0.48 debt-to-equity ratio."
2025-01-29,COIN,"Coinbase has received regulatory approval to launch in Argentina, securing a Virtual Asset Service Provider registration from the National Securities Commission. The expansion, led by Matías Alberti, will focus on localized services, Spanish-language support, and financial literacy initiatives. Mizuho analyst Dan Dolev recently upgraded Coinbase to Neutral with a price target increase to $290."
2025-01-29,COIN,"Mizuho analyst Dan Dolev upgraded Coinbase Global, Inc. (COIN) from Underperform to Neutral and raised the price target from $250 to $290. Coinbase shares closed at $281.82 on Tuesday."
2025-01-30,COIN,"Robinhood is preparing to launch futures trading for Bitcoin, oil, gold, and major financial indices, including the S&P 500, U.S. dollar, and euro. The platform recently added the TRUMP meme coin and reinstated several cryptocurrencies, including Solana, Cardano, Ripple, and Pepe, following Donald Trump's election victory. Robinhood is also introducing an 'intuitive trading ladder' feature to simplify futures trading for users."
2025-01-30,COIN,"Coinbase has added former Trump campaign manager Chris LaCivita and former Senator Kyrsten Sinema to its Global Advisory Council to help navigate the political landscape and advocate for clear, structured crypto regulations. Other new advisors include former New York Fed President Bill Dudley and former Inter-American Development Bank president Luis Alberto Moreno. The company aims to foster a predictable regulatory environment through bipartisan support."
2025-01-31,COIN,"Coinbase (COIN) saw 13 significant options trades, with sentiment split 46% bullish and 38% bearish. Total volume for these trades included 1 put ($25,440) and 12 calls ($679,340). Major market movers are focusing on a price band between $287.5 and $400.0. COIN is trading at $300.27, down 0.34%. Five analysts in the last month set an average price target of $300.8, with ratings including Market Perform (Keefe, Bruyette & Woods, $255 target), Neutral (Goldman Sachs, $340 target; Piper Sandler, $285 target; Mizuho, $290 target), and Outperform (Oppenheimer, $334 target)."
2025-02-01,COIN,"Benzinga's options scanner identified a bullish call option trade for Coinbase (COIN) expiring on January 31, 2025. The trade involved 100 contracts at a $300.00 strike price, with a total trade value of $31.2K and a premium of $312.0 per contract. There were 5,687 open contracts at this strike prior to the session, with 5,153 contracts traded today."
2025-02-01,COIN,Coinbase Acquires Spindl To Accelerate The Future Of Onchain Ads; No Financial Terms Disclosed
2025-02-03,COIN,Shares of Bitcoin miners and crypto-linked stocks are trading lower as Bitcoin falls amid trade war concerns.
2025-02-04,COIN,"Coinbase Global Inc. (NASDAQ: COIN) announced it has secured registration as a Virtual Asset Service Provider (VASP) from the UK's Financial Conduct Authority, becoming the country's largest registered digital assets player. The company recently acquired Spindl to support its Base network. Coinbase is scheduled to report Q4 and full-year results on February 13. Shares gained 1.13% in after-hours trading following a 2.38% decline to $284.41, with a 14.54% year-to-date gain."
2025-02-05,COIN,"On CNBC's 'Mad Money,' Jim Cramer advised investors to buy Bitcoin instead of Coinbase (COIN). The segment noted that Keefe, Bruyette & Woods analyst Kyle Voigt maintained a Market Perform rating on Coinbase on January 13, lowering the price target from $275 to $255. Coinbase shares settled at $280.39, down 1.4%."
2025-02-06,COIN,"Benzinga's options activity scanner identified a bearish call option trade for Coinbase (COIN) expiring February 7, 2025. The trade involved 449 contracts at a $285.00 strike price, totaling $242.4K in value at $540.0 per contract. There were 2,863 open contracts at this strike before the session, with 5,242 contracts traded today."
2025-02-07,COIN,"Needham Maintains Buy on Coinbase Glb, Lowers Price Target to $330"
2025-02-07,COIN,"Benzinga's options activity scanner identified a bearish call option trade for COIN (NASDAQ: COIN) expiring on June 20, 2025. The trade involved 2 contracts at a $10.00 strike price, with a total trade price of $53.1K and a price of $26,574.0 per contract. There were 21 open contracts at this strike prior to the trade, with 133 contracts traded today."
2025-02-08,COIN,"Benzinga's options activity scanner identified a bullish call option sweep for COIN (NASDAQ: COIN) expiring on March 21, 2025. The trade involved 25 contracts at a $160.00 strike price, with a total trade price of $296.5K and a price of $11,860.0 per contract. There were 4,687 open contracts at this strike prior to the trade, with 1,009 contracts traded today."
2025-02-10,COIN,"Coinbase CEO Brian Armstrong stated that Bitcoin adoption is on track to reach several billion users by 2030, citing growth rates faster than the internet and mobile phones. Entrepreneur Mario Nawfal noted that Bitcoin ETFs are projected to reach $250 billion in assets. Additionally, BlackRock has increased its stake in Strategy Inc. to 11.26 million shares, valued at approximately $584 million, as part of its broader accumulation of 471,107 BTC."
2025-02-10,COIN,"U.S. stock futures rose on Monday following Friday's decline, with investors awaiting inflation data on Wednesday. Coinbase Global Inc. (COIN) is among the companies scheduled to report earnings this week. Technical strategist Adam Turnquist suggested that current bearish sentiment may serve as a contrarian signal, indicating the recent market dip could have reached its low point."
2025-02-10,COIN,"The Consumer Financial Protection Bureau (CFPB) suspended operations after acting director Russell Vought halted investigations and declined further funding, citing an existing $711.6 million balance. The agency recently took enforcement actions against companies including Equifax, Block, and Capital One, and filed a lawsuit against Bank of America, JPMorgan Chase, and Wells Fargo regarding the Zelle network. Coinbase CEO Brian Armstrong publicly supported the agency's dissolution, calling it unconstitutional, while Senator Chris Van Hollen vowed to fight to ensure the CFPB continues its operations."
2025-02-11,COIN,"Coinbase (NASDAQ: COIN) options history shows 207 trades, with 23% bullish and 34% bearish sentiment. Total volume includes 49 puts ($3,031,142) and 158 calls ($12,794,352). COIN is currently trading at $279.62, up 1.87%. Four analysts provided recent ratings: Mizuho (Neutral, $290 target), Needham (Buy, $330 target), Keefe, Bruyette & Woods (Market Perform, $255 target), and Oppenheimer (Outperform, $334 target). Earnings are expected in 3 days."
2025-02-11,COIN,"John Todaro of Needham, an analyst with an 86% accuracy rate, maintained a Buy rating on Coinbase Global, Inc. (NASDAQ: COIN) on Feb. 7, while cutting the price target from $420 to $330. The analyst projects approximately 18% upside for the stock. On Jan. 19, Coinbase announced the addition of Chris LaCivita to its Global Advisory Council."
2025-02-12,COIN,"HC Wainwright & Co. Maintains Buy on Coinbase Glb, Raises Price Target to $330"
2025-02-13,COIN,"Coinbase is set to report Q4 results on Feb. 13, 2025, with analysts expecting $2.13 EPS and $1.84 billion in revenue. Recent analyst actions include: HC Wainwright & Co. raised its target to $330 (Buy); Needham cut its target to $330 (Buy); Mizuho upgraded to Neutral with a $290 target; Oppenheimer cut its target to $334 (Outperform); and Keefe, Bruyette & Woods cut its target to $255 (Market Perform)."
2025-02-13,COIN,"Coinbase Global (NASDAQ: COIN) is scheduled to report quarterly earnings after the bell on February 13, 2025, with expectations of $1.81 per share on $1.83 billion in revenue."
2025-02-13,COIN,"On Wednesday, U.S. stocks closed mostly lower following an inflation report showing a 3% year-over-year CPI increase for January. The Dow Jones fell 225 points to 44,368.56, and the CNN Money Fear and Greed index remained in the 'Fear' zone at 43.8. Investors are awaiting earnings results from Deere & Company, GE HealthCare Technologies, and Coinbase Global."
2025-02-13,COIN,"Coinbase is expected to report Q4 earnings with projected revenue of $1.8 billion and EPS of $1.99. Analysts note trading volume reached $195.9 billion, the highest since late 2021. Citi raised its price target for COIN from $275 to $350, maintaining a buy rating, while JPMorgan remains neutral with a $1.77 billion revenue forecast. Challenges include regulatory uncertainty and a decline in retail trading volume share from 40% in 2021 to 18%."
2025-02-13,COIN,"Needham Reiterates Buy on Coinbase Glb, Maintains $330 Price Target"
2025-02-13,COIN,"Coinbase is expected to report Q4 revenue of $1.83 billion and earnings per share of $1.71 after market close on Thursday. HC Wainwright analyst Mike Colonnese reiterated a Buy rating and raised the price target from $255 to $330, citing record trading volumes and Bitcoin's performance following the 2024 election. Other analysts provided updated targets: Needham ($330), Mizuho ($290), Oppenheimer ($334), Goldman Sachs ($340), and Piper Sandler ($285). Key focus areas include the impact of the new administration and international expansion in the UK and Argentina."
2025-02-13,COIN,"Heading into Thursday, Coinbase Global (NASDAQ: COIN) is expected to report quarterly earnings of $1.81 per share on $1.83 billion in revenue after the closing bell. Coinbase shares rose 3% to $283.10 in after-hours trading."
2025-02-13,COIN,"Ahead of its Q4 earnings release, Coinbase (COIN) stock advanced 3.31% on Thursday. Analysts expect the company to report quarterly earnings of $1.81 per share on revenue of $1.83 billion."
2025-02-14,COIN,"Barclays Maintains Equal-Weight on Coinbase Glb, Raises Price Target to $328"
2025-02-14,COIN,"Over the past three months, 16 analysts have rated Coinbase (COIN), with 6 bullish, 2 somewhat bullish, and 8 indifferent ratings. The average 12-month price target is $334.50, with a high of $420 and a low of $255. As of September 30, 2024, the company reported 78.77% revenue growth, a 6.26% net margin, 0.88% ROE, and 0.03% ROA. The debt-to-equity ratio is 0.48."
2025-02-14,COIN,"Coinbase CEO Brian Armstrong proposed integrating decentralized exchanges (DEXes) into Coinbase to manage the surge in meme coin trading, comparing the current crypto landscape to the early internet. During the Q4 2024 earnings call, Armstrong noted that 1 million tokens are created weekly, mostly meme coins. Coinbase reported Q4 revenue of $2.3 billion, an 88% quarter-over-quarter increase. Coinbase stock closed at $298.11 on Thursday, up 8.44%, before falling 1.47% in after-hours trading."
2025-02-14,COIN,"Crypto startup Plasma raised $20 million in a funding round led by Framework Ventures to develop a Bitcoin-based blockchain for stablecoins. Coinbase CEO Brian Armstrong has advocated for comprehensive legislation regarding stablecoins and token classification, which could impact market adoption."
2025-02-14,COIN,"During Coinbase's Q4 2024 earnings call, CEO Brian Armstrong called for legislative clarity on token classification—distinguishing between commodities, securities, and stablecoins—to attract capital. He also advocated for a clear U.S. framework for dollar-backed stablecoins and expressed support for a strategic Bitcoin reserve. Coinbase reported Q4 revenue of $2.3 billion, up 88% quarter-over-quarter. Shares closed at $298.11 on Thursday, up 8.44%, with a 1.47% decline in after-hours trading."
2025-02-14,COIN,"Coinbase Global (COIN) shares surged 8.44% to close at $298.11, with an intraday high of $302.40. The company reported Q4 revenue of $2.3 billion, exceeding expectations and marking an 88% increase quarter-over-quarter, driven by high consumer trading volume. The stock remains below its 52-week high of $349.75 and above its low of $146.14."
2025-02-14,COIN,"Canaccord Genuity Maintains Buy on Coinbase Glb, Raises Price Target to $400"
2025-02-14,COIN,"HC Wainwright & Co. Maintains Buy on Coinbase Glb, Raises Price Target to $350"
2025-02-14,COIN,"Canaccord Genuity analyst Joseph Vafi maintained a Buy rating on Coinbase Global, Inc. (COIN) and raised the price target from $280 to $400. Coinbase shares closed at $298.11 on Thursday."
2025-02-14,COIN,"Piper Sandler Maintains Neutral on Coinbase Glb, Raises Price Target to $310"
2025-02-14,COIN,"JMP Securities Maintains Market Outperform on Coinbase Glb, Raises Price Target to $475"
2025-02-14,COIN,"Coinbase stock is up 108.50% over the past year and 13.80% YTD. Ahead of Q4 earnings, analysts expect $1.81 EPS and $1.83 billion in revenue. The stock is trading above its 200-day moving average of $234.57. The consensus analyst rating is a Buy with a $274.65 price target, though recent ratings from Needham and HC Wainwright & Co. suggest an average target of $330, implying 13% upside."
2025-02-14,COIN,Coinbase Glb Q4 Sales $2.27B Beat $1.83B Estimate
2025-02-14,COIN,Coinbase Q4 2024 GAAP EPS $4.68 May Not Be Comparable To $1.81 Estimate
2025-02-14,COIN,Coinbase Expects Q1 Subscription And Services Revenue To Be $685M - $765M
2025-02-14,COIN,"Coinbase reported Q4 revenue of $2.3 billion, up 88% quarter-over-quarter, beating the $1.83 billion consensus. GAAP EPS was $4.68, exceeding the $1.81 estimate. Transaction revenue reached $1.6 billion, and subscription/services revenue hit $641 million. Consumer trading volume rose 176% to $94 billion. Bitcoin accounted for 27% of trading volume, while XRP made up 14% of transaction revenue. The company expects to focus on revenue, utility, and scaling in 2025."
2025-02-15,COIN,"Coinbase shares fell 6.56% to $278.61 on Friday following its Q4 earnings report. The company reported EPS of $4.68 and revenue of $2.27 billion, exceeding the $1.83 billion estimate. Transaction revenue rose 172% quarter-over-quarter to $1.6 billion, while subscription and services revenue grew 15% to $641 million. Quarterly trading volume was $439 billion with $404 billion in assets. Adjusted EBITDA reached a record $1.3 billion. Q1 2025 guidance for subscription and services revenue is $685 million to $785 million. Analysts updated targets: JMP Securities to $475, Canaccord Genuity to $400, and Piper Sandler to $310."
2025-02-15,COIN,"Benzinga Market Summary: Retail Sales Fall In January, Chinese Stocks Rise, Coinbase Reverses"
2025-02-15,COIN,"US stocks are heading for weekly gains despite January retail sales falling 0.9%, worse than the expected 0.1% decline. The 10-year Treasury yield fell below 4.5%. Coinbase Global, Inc. (COIN) was among the stocks reacting to earnings reports on Friday."
2025-02-15,COIN,"Coinbase (COIN) shares fell 6.5% to $278.60 despite reporting Q4 revenue of $2.272 billion, beating the $1.862 billion consensus. Transaction revenue beat estimates by 33%, and subscription/services revenue beat by 6%. EBITDA margins reached 57%. Analysts adjusted price targets: Goldman Sachs (Neutral) raised to $350; Canaccord Genuity (Buy) raised to $400; JMP Securities (Market Outperform) raised to $475; HC Wainwright (Buy) raised to $350. Management projects 13% sequential growth in Q1 subscription and services revenue."
2025-02-18,COIN,"Keefe, Bruyette & Woods analyst Kyle Voigt raised the price target for Coinbase Global, Inc. (COIN) from $255 to $305 while maintaining a Market Perform rating. Coinbase shares closed at $274.31 on Friday."
2025-02-18,COIN,"Keefe, Bruyette & Woods Maintains Market Perform on Coinbase Glb, Raises Price Target to $305"
2025-02-19,COIN,Coinbase: Unlocking New Opportunities In Crypto Derivatives; Says Eligible Institutions Will Now Have Access To Futures Trading Through Coinbase Financial Markets
2025-02-19,COIN,"Cantor Fitzgerald, led by CEO Howard Lutnick, increased its stake in Coinbase Global (COIN) by 66% in Q4 2024, holding 3,988 shares valued at $990,000 as of December 31. The firm also added significant positions in Bitcoin-related stocks like MicroStrategy (3,580,131 shares) and MARA Holdings (170,362 shares), as well as various Bitcoin and Ethereum ETFs. Additionally, the fund increased holdings in Chinese technology firms including Alibaba, Baidu, and JD.com."
2025-02-20,COIN,"Coinbase CEO Brian Armstrong stated the exchange will adopt a market-driven strategy for meme coins, allowing users to trade even 'low quality' tokens. Armstrong emphasized customer choice and transparency, noting that Coinbase aims to provide information rather than act as a judge. This comes as token creation reached a record of over 600,000 in January. Coinbase stock rose 1.11% in after-hours trading following a 2.25% decline to $258.67 during the regular session."
2025-02-20,COIN,"Coinbase (COIN) options activity shows 117 extraordinary trades, with 63 puts totaling $4,260,943 and 54 calls totaling $2,837,517. Sentiment is mixed, with 39% bullish and 33% bearish. The stock price is $262.25, down 0.9%. Analyst ratings from the last month include a $400 target from Canaccord Genuity (Buy), $305 from Keefe, Bruyette & Woods (Market Perform), $330 from Needham (Buy), and $475 from JMP Securities (Market Outperform), with an average target of $368.0."
2025-02-21,COIN,"Coinbase shares are trading higher after the company announced an agreement in principle with SEC Staff to dismiss litigation with prejudice, subject to SEC Commissioner approval."
